TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0009099", "valine biosynthetic process", 0.177, null, null, 4.607, 0.692, 0.501, 46416, True
"GO:0009082", "branched-chain amino acid biosynthetic process", 0.439, null, null, 5.001, 0.684, 0.502, 46416, True
"GO:0006525", "arginine metabolic process", 0.390, null, null, 4.950, 0.711, 0.510, 46416, True
"GO:0006564", "L-serine biosynthetic process", 0.092, null, null, 4.325, 0.696, 0.518, 46416, True
"GO:0009098", "leucine biosynthetic process", 0.193, null, null, 4.646, 0.690, 0.540, 46416, True
"GO:0009073", "aromatic amino acid family biosynthetic process", 0.570, null, null, 5.115, 0.639, 0.558, 46416, True
"GO:0019545", "arginine catabolic process to succinate", 0.008, null, null, 3.275, 0.714, 0.570, 46416, True
"GO:0000105", "histidine biosynthetic process", 0.384, null, null, 4.944, 0.670, 0.576, 46416, True
"GO:0006542", "glutamine biosynthetic process", 0.082, null, null, 4.274, 0.695, 0.674, 46416, True
"GO:0019464", "glycine decarboxylation via glycine cleavage system", 0.088, null, null, 4.305, 0.684, 0.710, 46416, True
"GO:0009088", "threonine biosynthetic process", 0.179, null, null, 4.611, 0.681, 0.712, 46416, True
"GO:0009094", "L-phenylalanine biosynthetic process", 0.045, null, null, 4.008, 0.679, 0.749, 46416, True
"GO:0010133", "proline catabolic process to glutamate", 0.037, null, null, 3.931, 0.687, 0.767, 46416, True
"GO:0006526", "arginine biosynthetic process", 0.317, null, null, 4.859, 0.664, 0.786, 46416, True
"GO:0009086", "methionine biosynthetic process", 0.353, null, null, 4.906, 0.640, 0.805, 46416, True
"GO:0006541", "glutamine metabolic process", 0.652, null, null, 5.173, 0.699, 0.805, 46416, True
"GO:0019544", "arginine catabolic process to glutamate", 0.009, null, null, 3.307, 0.712, 0.823, 46416, True
"GO:0019557", "histidine catabolic process to glutamate and formate", 0.061, null, null, 4.142, 0.667, 0.829, 46416, True
"GO:0006535", "cysteine biosynthetic process from serine", 0.108, null, null, 4.392, 0.669, 0.858, 46416, True
"GO:0006555", "methionine metabolic process", 0.377, null, null, 4.936, 0.687, 0.888, 46416, True
"GO:0006571", "tyrosine biosynthetic process", 0.048, null, null, 4.036, 0.678, 0.915, 46416, True
"GO:0009097", "isoleucine biosynthetic process", 0.273, null, null, 4.795, 0.675, 0.937, 46416, True
"GO:0019556", "histidine catabolic process to glutamate and formamide", 0.062, null, null, 4.149, 0.657, 0.997, 46416, True
"GO:0046167", "glycerol-3-phosphate biosynthetic process", 0.030, 5.829, -4.502, 3.832, 0.791, 0.318, -1, False
"GO:0046168", "glycerol-3-phosphate catabolic process", 0.049, null, null, 4.046, 0.773, 0.845, 46167, True
"GO:0001123", "transcription initiation from bacterial-type RNA polymerase promoter", 0.051, 6.714, 0.348, 4.068, 0.735, 0.332, -1, False
"GO:0006354", "DNA-templated transcription, elongation", 0.088, null, null, 4.302, 0.725, 0.524, 1123, True
"GO:0006979", "response to oxidative stress", 0.590, -6.332, 0.102, 5.130, 0.938, 0.337, -1, False
"GO:0006323", "DNA packaging", 0.208, -1.174, 0.356, 4.678, 0.935, 0.339, -1, False
"GO:0000716", "transcription-coupled nucleotide-excision repair, DNA damage recognition", 0.031, null, null, 3.857, 0.746, 0.532, 6323, True
"GO:0043571", "maintenance of CRISPR repeat elements", 0.054, null, null, 4.091, 0.772, 0.553, 6323, True
"GO:0030261", "chromosome condensation", 0.088, null, null, 4.302, 0.939, 0.671, 6323, True
"GO:0006265", "DNA topological change", 0.254, null, null, 4.764, 0.744, 0.730, 6323, True
"GO:0046688", "response to copper ion", 0.022, -6.378, -0.363, 3.693, 0.959, 0.349, -1, False
"GO:0046677", "response to antibiotic", 0.215, null, null, 4.692, 0.951, 0.451, 46688, True
"GO:0000302", "response to reactive oxygen species", 0.167, null, null, 4.581, 0.938, 0.524, 46688, True
"GO:0033014", "tetrapyrrole biosynthetic process", 0.863, 6.741, -0.547, 5.295, 0.714, 0.358, -1, False
"GO:0009231", "riboflavin biosynthetic process", 0.242, null, null, 4.744, 0.680, 0.402, 33014, True
"GO:0009102", "biotin biosynthetic process", 0.080, null, null, 4.265, 0.642, 0.656, 33014, True
"GO:0006780", "uroporphyrinogen III biosynthetic process", 0.028, null, null, 3.805, 0.702, 0.723, 33014, True
"GO:0006784", "heme A biosynthetic process", 0.031, null, null, 3.849, 0.771, 0.729, 33014, True
"GO:0006782", "protoporphyrinogen IX biosynthetic process", 0.218, null, null, 4.698, 0.738, 0.860, 33014, True
"GO:0009236", "cobalamin biosynthetic process", 0.333, null, null, 4.882, 0.664, 0.895, 33014, True
"GO:0001522", "pseudouridine synthesis", 0.348, 6.925, 2.254, 4.901, 0.768, 0.360, -1, False
"GO:0052865", "1-deoxy-D-xylulose 5-phosphate biosynthetic process", 0.036, 5.929, -4.300, 3.911, 0.791, 0.362, -1, False
"GO:0006427", "histidyl-tRNA aminoacylation", 0.041, 5.568, -0.034, 3.974, 0.663, 0.363, -1, False
"GO:0006438", "valyl-tRNA aminoacylation", 0.046, null, null, 4.026, 0.660, 0.584, 6427, True
"GO:0006428", "isoleucyl-tRNA aminoacylation", 0.048, null, null, 4.039, 0.659, 0.590, 6427, True
"GO:0006431", "methionyl-tRNA aminoacylation", 0.051, null, null, 4.068, 0.658, 0.593, 6427, True
"GO:0006436", "tryptophanyl-tRNA aminoacylation", 0.052, null, null, 4.076, 0.658, 0.597, 6427, True
"GO:0006430", "lysyl-tRNA aminoacylation", 0.054, null, null, 4.094, 0.657, 0.599, 6427, True
"GO:0006419", "alanyl-tRNA aminoacylation", 0.059, null, null, 4.127, 0.655, 0.604, 6427, True
"GO:0006426", "glycyl-tRNA aminoacylation", 0.062, null, null, 4.154, 0.654, 0.609, 6427, True
"GO:0006420", "arginyl-tRNA aminoacylation", 0.067, null, null, 4.185, 0.652, 0.615, 6427, True
"GO:0006432", "phenylalanyl-tRNA aminoacylation", 0.089, null, null, 4.309, 0.645, 0.630, 6427, True
"GO:0045893", "positive regulation of transcription, DNA-templated", 0.701, -4.596, 3.923, 5.205, 0.962, 0.364, -1, False
"GO:0015833", "peptide transport", 0.331, -5.148, -3.904, 4.879, 0.936, 0.366, -1, False
"GO:0006614", "SRP-dependent cotranslational protein targeting to membrane", 0.143, null, null, 4.516, 0.921, 0.480, 15833, True
"GO:0008643", "carbohydrate transport", 0.659, null, null, 5.178, 0.935, 0.506, 15833, True
"GO:0051205", "protein insertion into membrane", 0.103, null, null, 4.372, 0.890, 0.834, 15833, True
"GO:0009877", "nodulation", 0.001, -3.566, -0.520, 2.243, 0.995, 0.389, -1, False
"GO:0030435", "sporulation resulting in formation of a cellular spore", 0.113, null, null, 4.412, 0.983, 0.607, 9877, True
"GO:0006080", "substituted mannan metabolic process", 0.011, 4.863, 6.470, 3.402, 0.875, 0.390, -1, False
"GO:0015871", "choline transport", 0.010, -4.709, -3.940, 3.349, 0.935, 0.395, -1, False
"GO:1900753", "doxorubicin transport", 0.024, null, null, 3.739, 0.930, 0.819, 15871, True
"GO:0043215", "daunorubicin transport", 0.024, null, null, 3.735, 0.890, 0.994, 15871, True
"GO:0009190", "cyclic nucleotide biosynthetic process", 0.143, 5.600, -2.156, 4.515, 0.673, 0.396, -1, False
"GO:0009168", "purine ribonucleoside monophosphate biosynthetic process", 0.713, null, null, 5.212, 0.628, 0.591, 9190, True
"GO:0044208", "'de novo' AMP biosynthetic process", 0.080, null, null, 4.265, 0.659, 0.813, 9190, True
"GO:0044205", "'de novo' UMP biosynthetic process", 0.260, null, null, 4.774, 0.626, 0.817, 9190, True
"GO:0006177", "GMP biosynthetic process", 0.093, null, null, 4.326, 0.657, 0.823, 9190, True
"GO:0006171", "cAMP biosynthetic process", 0.031, null, null, 3.856, 0.681, 0.881, 9190, True
"GO:0044209", "AMP salvage", 0.085, null, null, 4.291, 0.655, 0.900, 9190, True
"GO:0006166", "purine ribonucleoside salvage", 0.104, null, null, 4.377, 0.643, 0.914, 9190, True
"GO:0006189", "'de novo' IMP biosynthetic process", 0.429, null, null, 4.991, 0.617, 0.944, 9190, True
"GO:0019932", "second-messenger-mediated signaling", 0.085, null, null, 4.291, 0.925, 0.477, -1, True
"GO:0008033", "tRNA processing", 1.512, null, null, 5.539, 0.732, 0.620, -1, True
"GO:0002949", "tRNA threonylcarbamoyladenosine modification", 0.117, null, null, 4.428, 0.771, 0.654, -1, True
"GO:0030488", "tRNA methylation", 0.273, null, null, 4.795, 0.749, 0.712, -1, True
"GO:0017038", "protein import", 0.260, null, null, 4.775, 0.931, 0.726, -1, True
"GO:0006353", "DNA-templated transcription, termination", 0.197, null, null, 4.653, 0.709, 0.753, -1, True
"GO:0009306", "protein secretion", 0.396, null, null, 4.957, 0.912, 0.760, -1, True
"GO:0006605", "protein targeting", 0.580, null, null, 5.123, 0.913, 0.793, -1, True
"GO:0006418", "tRNA aminoacylation for protein translation", 1.042, null, null, 5.377, 0.576, 0.805, -1, True
"GO:0006400", "tRNA modification", 1.054, null, null, 5.382, 0.729, 0.819, -1, True
"GO:0006164", "purine nucleotide biosynthetic process", 1.724, null, null, 5.596, 0.592, 0.844, -1, True
"GO:0015628", "protein secretion by the type II secretion system", 0.085, null, null, 4.288, 0.918, 0.874, -1, True
"GO:0006352", "DNA-templated transcription, initiation", 0.854, null, null, 5.290, 0.674, 0.880, -1, True
"GO:0043039", "tRNA aminoacylation", 1.068, null, null, 5.388, 0.624, 0.986, -1, True
